CG2995	EG:BACR37P7.2
CG12108	Ppt1
CG1785	CG1785
CG1994	CG1994
CG10701	Moe
CG10648	CG10648
CG7033	CG7033
CG7766	CG7766
CG9113	AP-1gamma
CG7065	CG7065
CG12218	mei-P26
CG12124	CG12124
CG12058	mxc
CG12127	amx
CG12132	c11.1
CG32701	CG32701
CG32702	CG32702
CG32699	CG32699
CG32697	CG32697
CG15319	nej
CG1354	CG1354
CG32685	CG32685
CG2967	CG2967
CG2221	CG2221
CG17841	CG17841
CG32681	CG32681
CG17255	CG17255
CG2887	CG2887
CG2889	CG2889
CG2890	PPP4R2r
CG32675	CG32675
CG1826	CG1826
CG1691	Imp
CG1664	sbr
CG32669	CG32669
CG2202	CG2202
CG1637	CG1637
CG16916	Rpt3
CG2522	Gtp-bp
CG1453	Klp10A
CG15199	CG15199
CG18292	CG18292
CG32667	CG32667
CG1404	ran
CG15201	CG15201
CG1938	Dlic2
CG32668	CG32668
CG1657	CG1657
CG11750	CG11750
CG1594	hop
CG1725	dlg1
CG1745	CG1745
CG1554	RpII215
CG1561	CG1561
CG1763	nod
CG1697	rho-4
CG2247	CG2247
CG1703	CG1703
CG1705	Rst(1)JH
CG1822	bif
CG1830	PhKgamma
CG2448	FucT6
CG2446	CG2446
CG1837	CG1837
CG1841	CG1841
CG15224	CkIIbeta
CG32663	CG32663
CG32662	CG32662
CG1886	CG1886
CG1847	CG1847
CG2025	CG2025
CG10353	CG10353
CG1559	Upf1
CG1492	CG1492
CG1806	CG1806
CG15735	CG15735
CG1490	CG1490
CG1900	Rab40
CG1848	LIMK1
CG32654	CG32654
CG17762	tomosyn
CG2028	CkIalpha
CG4013	Smr
CG3989	ade5
CG12717	CG12717
CG4645	CG4645
CG4353	hep
CG12244	lic
CG1903	sno
CG15744	CG15744
CG1764	CG1764
CG15747	CG15747
CG1640	CG1640
CG1987	Rbp1-like
CG32634	CG32634
CG1989	Yippee
CG1716	CG1716
CG11176	CG11176
CG2691	CG2691
CG11172	NFAT
CG12176	ligase4
CG10986	g
CG10988	l(1)dd4
CG11111	rdgB
CG11063	CG11063
CG11092	CG11092
CG15871	mRpL3a
CG33249	CG33249
CG1810	mRNA-capping-enzyme
CG12047	mud
CG14408	CG14408
CG32592	hiw
CG32594	CG32594
CG5541	CG5541
CG33178	CG33178
CG5599	CG5599
CG6146	Top1
CG9123	CG9123
CG9198	CG9198
CG8097	CG8097
CG8105	CG8105
CG9220	CG9220
CG8184	CG8184
CG8191	CG8191
CG8944	CG8944
CG8948	Graf
CG33173	CG33173
CG15602	CG15602
CG8995	PGRP-LE
CG8544	sd
CG9012	Chc
CG9020	CG9020
CG9045	Myb
CG10545	Gbeta13F
CG16952	CG16952
CG9056	CG9056
CG18102	shi
CG17336	Lcch3
CG33180	Ranbp16
CG9177	eIF5
CG8939	CG8939
CG9209	vap
CG9214	Tob
CG3632	CG3632
CG9915	CG9915
CG12223	Dsp1
CG4200	sl
CG9998	U2af50
CG4211	nonA
CG18734	Fur2
CG9992	CG9992
CG9984	TH1
CG32575	CG32575
CG9947	CG9947
CG4420	CG4420
CG9901	Arp14D
CG9784	CG9784
CG4453	CG4453
CG18582	mbt
CG9774	rok
CG9777	CG9777
CG32573	CG32573
CG9723	CG9723
CG4756	CG4756
CG4768	CG4768
CG9132	CG9132
CG4872	CG4872
CG9104	CG9104
CG4937	RhoGAP15B
CG9086	CG9086
CG5004	CG5004
CG33067	CG33067
CG8922	RpS5
CG32561	xmas-1
CG32562	xmas-2
CG5055	baz
CG8649	Fim
CG8611	CG8611
CG8465	CG8465
CG5675	X11L
CG8289	CG8289
CG32555	RhoGAPp190
CG5800	CG5800
CG8211	CG8211
CG5870	beta-Spec
CG5884	par-6
CG8146	Socs16D
CG6492	Ucp4A
CG15814	CG15814
CG7826	mnb
CG6835	CG6835
CG32495	CG32495
CG7772	CG7772
CG6842	CG6842
CG7536	CG7536
CG7098	dik
CG7206	CG7206
CG7122	RhoGAP16F
CG7192	CG7192
CG6103	CrebB-17A
CG6223	betaCop
CG6394	GalNAc-T2
CG6606	CG6606
CG6659	CG6659
CG7001	Pk17E
CG7274	CG7274
CG7280	CG7280
CG7288	CG7288
CG7332	CG7332
CG14194	CG14194
CG7990	CG7990
CG12359	Ulp1
CG7893	vav
CG12202	CG12202
CG3291	pcm
CG12204	CG12204
CG14199	CG14199
CG14200	CG14200
CG12233	CG12233
CG3917	Grip84
CG12230	car
CG14217	CG14217
CG14222	CG14222
CG14211	CG14211
CG12238	CG12238
CG12237	CG12237
CG14213	CG14213
CG12234	Ranbp21
CG14215	CG14215
CG14227	CG14227
CG12530	Cdc42
CG14234	CG14234
CG14235	CG14235
CG18809	CG18809
CG12702	CG12702
CG12703	CG12703
CG11943	CG11943
CG9575	Rab35
CG9580	Sdic
CG33497	CG33497
CG32823	CG32823
CG33499	CG33499
CG18000	Cdic
CG17060	Rab10
CG11734	HERC2
CG1676	cactin
CG1702	CG1702
CG1412	RhoGAP19D
CG1812	CG1812
CG18492	Tak1
CG1529	CG1529
CG1740	Ntf-2
CG1753	CG1753
CG1518	CG1518
CG1718	CG1718
CG1489	Pros45
CG1696	CG1696
CG33071	CG33071
CG1484	fliI
CG1685	pen
CG17051	dod
CG1403	Sep1
CG32527	CG32527
CG1417	slgA
CG1666	Hlc
CG14476	CG14476
CG17450	CG17450
CG33502	CG33502
CG32820	CG32820
CG32857	CG32857
CG17686	DIP1
CG32500	CG32500
CG32819	CG32819
CG14619	CG14619
CG12576	CG12576
CG14618	CG14618
CG17596	S6kII
CG17600	CG17600
CG17598	CG17598
CG13367	CG13367
CG11642	EG:BACR7A4.5
CG14787	CG14787
CG14777	CG14777
CG14779	CG14779
CG14792	sta
CG14804	CG14804
CG8636	CG8636
CG13762	EG:BACR7C10.7
CG2685	CG2685
CG2711	dwg
CG2713	CG2713
CG4206	Mcm3
CG4165	CG4165
CG3025	mof
CG15897	CG15897
CG3455	Rpt4
CG3815	CG3815
CG12219	CG12219
CG3861	CG3861
CG3342	CG3342
CG3918	CG3918
CG3926	Spat
CG3973	CG3973
CG3192	CG3192
CG4039	Mcm6
CG14442	CG14442
CG14441	CG14441
CG12155	CG12155
CG12157	Tom40
CG15329	CG15329
CG10961	Traf2
CG18009	Trf2
CG12081	CG12081
CG12659	CG12659
CG12149	c12.2
CG32705	CG32705
CG17252	BCL7-like
CG3002	CG3002
CG3004	CG3004
CG32689	CG32689
CG32687	CG32687
CG11207	feo
CG11122	CG11122
CG11759	Kap
CG18361	dsh
CG1558	CG1558
CG11695	CG11695
CG11802	CG11802
CG15737	CG15737
CG15738	CG15738
CG1770	HDAC4
CG1622	CG1622
CG11178	CG11178
CG9941	CG9941
CG33248	CG33248
CG9065	CG9065
CG6170	HDAC6
CG6227	CG6227
CG6340	CG6340
CG9215	CG9215
CG9281	CG9281
CG8578	CG8578
CG9096	CycD
CG8933	exd
CG13956	kat80
CG3415	CG3415
CG3606	caz
CG9946	eIF-2alpha
CG4429	Rbp2
CG9802	Cap
CG9606	Rrp45
CG8949	CG8949
CG32560	CG32560
CG6179	CG6179
CG6407	Wnt5
CG7282	CG7282
CG7322	CG7322
CG7358	CG7358
CG8002	CG8002
CG32536	CG32536
CG14212	CG14212
CG14221	CG14221
CG14214	CG14214
CG14224	CG14224
CG14228	Mer
CG12532	Bap
CG15618	CG15618
CG15459	CG15459
CG1668	Pbprp2
CG32505	Pp4-19C
CG11710	CG11710
CG1486	CG1486
CG14613	CG14613
